iter	Passed	Remaining
0	0	71
1	1	83
2	2	79
3	2	70
4	3	69
5	4	67
6	5	68
7	5	68
8	6	66
9	7	65
10	7	64
11	8	63
12	9	61
13	9	60
14	10	59
15	11	58
16	11	56
17	12	55
18	12	54
19	13	53
20	14	52
21	14	51
22	15	50
23	15	50
24	16	48
25	16	48
26	17	47
27	18	46
28	18	45
29	19	44
30	19	44
31	20	43
32	20	42
33	21	41
34	22	40
35	22	40
36	23	39
37	23	38
38	24	37
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	28	32
46	28	32
47	29	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	35	23
60	36	23
61	37	22
62	37	22
63	38	21
64	38	20
65	39	20
66	39	19
67	40	18
68	40	18
69	41	17
70	42	17
71	42	16
72	43	16
73	44	15
74	44	14
75	45	14
76	46	13
77	46	13
78	47	12
79	47	11
80	48	11
81	48	10
82	49	10
83	50	9
84	50	8
85	51	8
86	51	7
87	52	7
88	52	6
89	53	5
90	53	5
91	54	4
92	54	4
93	55	3
94	56	2
95	56	2
96	57	1
97	57	1
98	58	0
99	59	0
